ARA Level,Atlas Name,Atlas Version,Case Name,Channel Number,Connection Lens Version,Injection Site,Overlap Format,Project Name,Secondary Injection Site,Seconday Injection Site,Slide Number,Threshold Adjusted,Tracer,(HEMISPHERE:R:G:B),ATLAS ONLY,OVERLAP,REGION
023,ARA,1,SW180510-01A,3,2.5.4,MOp_5,Region,SW180510-01A,None,None,1_14,False,EnvA-RB-RVdG-4mCherry,(l:38:143:68),703181,0,FRP_2/3
023,ARA,1,SW180510-01A,3,2.5.4,MOp_5,Region,SW180510-01A,None,None,1_14,False,EnvA-RB-RVdG-4mCherry,(l:38:143:69),2330847,0,FRP_1
023,ARA,1,SW180510-01A,3,2.5.4,MOp_5,Region,SW180510-01A,None,None,1_14,False,EnvA-RB-RVdG-4mCherry,(l:84:191:143),341813,0,AON
023,ARA,1,SW180510-01A,3,2.5.4,MOp_5,Region,SW180510-01A,None,None,1_14,False,EnvA-RB-RVdG-4mCherry,(l:84:191:144),492489,0,AON_e
023,ARA,1,SW180510-01A,3,2.5.4,MOp_5,Region,SW180510-01A,None,None,1_14,False,EnvA-RB-RVdG-4mCherry,(l:84:191:145),610141,0,AON_l
023,ARA,1,SW180510-01A,3,2.5.4,MOp_5,Region,SW180510-01A,None,None,1_14,False,EnvA-RB-RVdG-4mCherry,(l:130:199:171),197057,0,MOB
023,ARA,1,SW180510-01A,3,2.5.4,MOp_5,Region,SW180510-01A,None,None,1_14,False,EnvA-RB-RVdG-4mCherry,(l:130:199:172),967766,0,MOB_gr
023,ARA,1,SW180510-01A,3,2.5.4,MOp_5,Region,SW180510-01A,None,None,1_14,False,EnvA-RB-RVdG-4mCherry,(l:130:199:173),172392,0,MOB_mi
023,ARA,1,SW180510-01A,3,2.5.4,MOp_5,Region,SW180510-01A,None,None,1_14,False,EnvA-RB-RVdG-4mCherry,(l:130:199:174),745463,0,MOB_gl
023,ARA,1,SW180510-01A,3,2.5.4,MOp_5,Region,SW180510-01A,None,None,1_14,False,EnvA-RB-RVdG-4mCherry,(l:130:199:175),974477,0,MOB_opl
023,ARA,1,SW180510-01A,3,2.5.4,MOp_5,Region,SW180510-01A,None,None,1_14,False,EnvA-RB-RVdG-4mCherry,(l:130:199:176),151948,0,MOB_ipl
